trip_id,pickup_datetime,dropoff_datetime,trip_seconds,trip_miles,pickup_location,dropoff_location,fare,tip,payment_type
1,2024-01-01 08:15:00,2024-01-01 08:30:00,900,3.2,Loop,Lincoln Park,12.50,2.50,Credit Card
2,2024-01-01 09:00:00,2024-01-01 09:25:00,1500,6.8,Hyde Park,O'Hare Airport,25.00,5.00,Credit Card
3,2024-01-01 10:10:00,2024-01-01 10:20:00,600,2.1,West Loop,Downtown,9.00,1.50,Cash
4,2024-01-01 11:05:00,2024-01-01 11:40:00,2100,10.5,South Shore,Midway Airport,32.00,6.00,Credit Card
5,2024-01-01 12:30:00,2024-01-01 12:45:00,900,4.0,Downtown,Lincoln Park,14.00,3.00,Cash
6,2024-01-01 13:15:00,2024-01-01 13:35:00,1200,5.5,O'Hare Airport,Loop,22.00,4.00,Credit Card
7,2024-01-01 14:00:00,2024-01-01 14:10:00,600,1.8,West Loop,West Loop,7.50,1.00,Cash
8,2024-01-01 15:20:00,2024-01-01 15:50:00,1800,8.2,Hyde Park,Loop,28.00,5.50,Credit Card
9,2024-01-01 16:10:00,2024-01-01 16:25:00,900,3.5,Lincoln Park,Hyde Park,13.00,2.00,Cash
10,2024-01-01 17:00:00,2024-01-01 17:30:00,1800,7.0,Downtown,O'Hare Airport,30.00,6.50,Credit Card
